,id,name,owner,address,city,postal_code,region,country,country_code,cadastral_id,power_installed,square_ft_meters_global,square_ft_meters_it,date_of_building_manufacturing,date_of_land_buying_act,main_source,secondary_source,last_update,comment_main_source,comment_secondary_source
0,BCE_-_JUNGLINSTER_2,BCE - JUNGLINSTER 2,,6 Station Radio,Junglinster,6141 Junglinster,,Luxemburg,LU,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:32.778079+02:00,scraped from website with selenium,
0,BCE_-_KIRCHBERG,BCE - KIRCHBERG,,43 Bd Pierre Frieden,Luxembourg,1543 Luxembourg,,Luxemburg,LU,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:33.101855+02:00,scraped from website with selenium,
0,BEDAG_-_BERN,BEDAG - BERN,,Engehaldenstrasse 12,Berne,3012 Bern,Berne,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:33.461759+02:00,scraped from website with selenium,
0,BEDAG_-_WETTINGEN_DC,BEDAG - WETTINGEN DC,,Hardstrstrasse 73,,5430 Wettingen,Argovie,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:33.978381+02:00,scraped from website with selenium,
0,BLUE_-_CHÂTEAUBOURG,BLUE - CHÂTEAUBOURG,,2 Rue Blaise Pascal,Châteaubourg,35220 Châteaubourg,Bretagne,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:34.782899+02:00,scraped from website with selenium,
0,BLUE_-_NANTES,BLUE - NANTES,,"4 rue Edith Piaf, Immeuble Asturia C Parc d’Armor - Zenith",,44821 Saint-Herblain,Pays de la Loire,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:35.453901+02:00,scraped from website with selenium,
0,BRAINSERVE,BRAINSERVE,,Rue de la Vernie 12,,1023 Crissier,Vaud,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:35.913056+02:00,scraped from website with selenium,
0,C-DATACENTERS_-_AIX-EN-PROVENCE,C-DATACENTERS - AIX-EN-PROVENCE,,La Provençale,Aix-en-Provence,13510 Aix-en-Provence,Provence-Alpes-Côte d'Azur,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:36.388642+02:00,scraped from website with selenium,
0,C-DATACENTERS_-_SAINT-ETIENNE,C-DATACENTERS - SAINT-ETIENNE,,1 Esp. de France,Saint-Étienne,42000 Saint-Étienne,Auvergne-Rhône-Alpes,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:36.777786+02:00,scraped from website with selenium,
0,CASTLE_IT,CASTLE IT,,1 - 3 Rue des Pies-Grièches,Larçay,37270 Larcay,Centre-Val de Loire,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:37.109422+02:00,scraped from website with selenium,
